team_1,team_2,score,link
СКА,Драконы,5:1,https://www.khl.ru/game/1369/897597/resume/
Сибирь,Барыс,2:1 Б,https://www.khl.ru/game/1369/898231/resume/
Динамо Мн,Автомобилист,8:2,https://www.khl.ru/game/1369/898232/resume/
Динамо М,Ак Барс,5:7,https://www.khl.ru/game/1369/898233/resume/
Трактор,Адмирал,1:0,https://www.khl.ru/game/1369/898234/resume/
Салават Юлаев,ХК Сочи,2:1,https://www.khl.ru/game/1369/898235/resume/
Спартак,Нефтехимик,2:3 Б,https://www.khl.ru/game/1369/898236/resume/
Локомотив,Металлург Мг,4:1,https://www.khl.ru/game/1369/898238/resume/
Торпедо,Амур,5:3,https://www.khl.ru/game/1369/898229/resume/
Северсталь,Авангард,2:5,https://www.khl.ru/game/1369/898230/resume/
Салават Юлаев,Нефтехимик,3:0,https://www.khl.ru/game/1369/898222/resume/
Трактор,Металлург Мг,6:2,https://www.khl.ru/game/1369/898223/resume/
ХК Сочи,Ак Барс,2:4,https://www.khl.ru/game/1369/898224/resume/
Спартак,ЦСКА,2:3 Б,https://www.khl.ru/game/1369/898225/resume/
Динамо М,Адмирал,1:2,https://www.khl.ru/game/1369/898226/resume/
Сибирь,СКА,4:1,https://www.khl.ru/game/1369/898227/resume/
Драконы,Автомобилист,2:6,https://www.khl.ru/game/1369/898228/resume/
Динамо Мн,Авангард,3:4 ОТ,https://www.khl.ru/game/1369/898220/resume/
Лада,Амур,5:2,https://www.khl.ru/game/1369/898221/resume/
Металлург Мг,Автомобилист,4:3,https://www.khl.ru/game/1369/898213/resume/
Спартак,Динамо М,3:4 Б,https://www.khl.ru/game/1369/898214/resume/
Сибирь,ЦСКА,3:2,https://www.khl.ru/game/1369/898215/resume/
Барыс,Адмирал,2:6,https://www.khl.ru/game/1369/898216/resume/
Торпедо,Нефтехимик,3:6,https://www.khl.ru/game/1369/898217/resume/
Северсталь,Ак Барс,4:2,https://www.khl.ru/game/1369/898218/resume/
Трактор,СКА,2:1,https://www.khl.ru/game/1369/898219/resume/
Динамо Мн,Локомотив,2:1 Б,https://www.khl.ru/game/1369/898210/resume/
ХК Сочи,Амур,2:3,https://www.khl.ru/game/1369/898211/resume/
Салават Юлаев,Драконы,5:3,https://www.khl.ru/game/1369/898212/resume/
Автомобилист,ЦСКА,0:3,https://www.khl.ru/game/1369/898209/resume/
Ак Барс,ХК Сочи,2:0,https://www.khl.ru/game/1369/898200/resume/
Спартак,Амур,1:0 ОТ,https://www.khl.ru/game/1369/898201/resume/
Трактор,Торпедо,3:2 ОТ,https://www.khl.ru/game/1369/898202/resume/
Авангард,Драконы,6:1,https://www.khl.ru/game/1369/898203/resume/
Сибирь,Металлург Мг,1:2 ОТ,https://www.khl.ru/game/1369/898204/resume/
Салават Юлаев,Динамо М,2:3 Б,https://www.khl.ru/game/1369/898205/resume/
Лада,Локомотив,2:4,https://www.khl.ru/game/1369/898206/resume/
Адмирал,Барыс,6:2,https://www.khl.ru/game/1369/898207/resume/
СКА,Северсталь,5:0,https://www.khl.ru/game/1369/898208/resume/
Адмирал,Барыс,1:2,https://www.khl.ru/game/1369/898199/resume/
ХК Сочи,ЦСКА,1:2,https://www.khl.ru/game/1369/898133/resume/
Авангард,Торпедо,4:1,https://www.khl.ru/game/1369/898193/resume/
Лада,Северсталь,1:3,https://www.khl.ru/game/1369/898194/resume/
Динамо М,Драконы,4:2,https://www.khl.ru/game/1369/898195/resume/
Салават Юлаев,Металлург Мг,1:2 ОТ,https://www.khl.ru/game/1369/898196/resume/
СКА,Динамо Мн,4:3,https://www.khl.ru/game/1369/898197/resume/
Автомобилист,Локомотив,4:1,https://www.khl.ru/game/1369/898198/resume/
ЦСКА,ХК Сочи,2:1,https://www.khl.ru/game/1369/898189/resume/
Нефтехимик,Трактор,2:1 ОТ,https://www.khl.ru/game/1369/898190/resume/
Амур,Барыс,0:3,https://www.khl.ru/game/1369/898191/resume/
Ак Барс,Спартак,4:1,https://www.khl.ru/game/1369/898192/resume/
Авангард,Сибирь,1:2 Б,https://www.khl.ru/game/1369/898186/resume/
Динамо М,Динамо Мн,6:4,https://www.khl.ru/game/1369/898187/resume/
Локомотив,Северсталь,4:3 ОТ,https://www.khl.ru/game/1369/898188/resume/
Торпедо,ХК Сочи,4:3,https://www.khl.ru/game/1369/898182/resume/
Металлург Мг,Трактор,3:2 Б,https://www.khl.ru/game/1369/898183/resume/
Лада,Спартак,2:5,https://www.khl.ru/game/1369/898185/resume/
Динамо М,СКА,1:2 ОТ,https://www.khl.ru/game/1369/898177/resume/
Адмирал,Нефтехимик,3:4,https://www.khl.ru/game/1369/898178/resume/
Лада,Спартак,1:7,https://www.khl.ru/game/1369/898179/resume/
Амур,Салават Юлаев,6:3,https://www.khl.ru/game/1369/898180/resume/
Ак Барс,Сибирь,6:3,https://www.khl.ru/game/1369/898181/resume/
Драконы,Барыс,4:8,https://www.khl.ru/game/1369/898184/resume/
ХК Сочи,Авангард,3:1,https://www.khl.ru/game/1369/898174/resume/
ЦСКА,Трактор,1:0,https://www.khl.ru/game/1369/898175/resume/
Металлург Мг,Автомобилист,1:3,https://www.khl.ru/game/1369/898176/resume/
Адмирал,Нефтехимик,7:3,https://www.khl.ru/game/1369/898170/resume/
Драконы,Сибирь,1:2,https://www.khl.ru/game/1369/898171/resume/
Амур,Салават Юлаев,1:4,https://www.khl.ru/game/1369/898172/resume/
Динамо Мн,СКА,1:2 ОТ,https://www.khl.ru/game/1369/898173/resume/
ХК Сочи,Локомотив,2:3,https://www.khl.ru/game/1369/898166/resume/
ЦСКА,Авангард,0:2,https://www.khl.ru/game/1369/898167/resume/
Торпедо,Трактор,0:5,https://www.khl.ru/game/1369/898168/resume/
Динамо М,Автомобилист,0:4,https://www.khl.ru/game/1369/898169/resume/
Адмирал,Салават Юлаев,1:2 Б,https://www.khl.ru/game/1369/898162/resume/
Лада,Ак Барс,5:3,https://www.khl.ru/game/1369/898163/resume/
Амур,Нефтехимик,3:1,https://www.khl.ru/game/1369/898164/resume/
Динамо Мн,Металлург Мг,0:3,https://www.khl.ru/game/1369/898165/resume/
СКА,Барыс,7:0,https://www.khl.ru/game/1369/898158/resume/
Северсталь,Локомотив,2:3 Б,https://www.khl.ru/game/1369/898159/resume/
ЦСКА,Автомобилист,0:1,https://www.khl.ru/game/1369/898160/resume/
Спартак,Авангард,1:4,https://www.khl.ru/game/1369/898161/resume/
Лада,Драконы,1:2,https://www.khl.ru/game/1369/898152/resume/
ХК Сочи,Торпедо,5:1,https://www.khl.ru/game/1369/898153/resume/
Динамо М,Металлург Мг,4:1,https://www.khl.ru/game/1369/898154/resume/
Трактор,Ак Барс,0:1,https://www.khl.ru/game/1369/898155/resume/
Амур,Нефтехимик,3:2,https://www.khl.ru/game/1369/898156/resume/
Адмирал,Салават Юлаев,4:2,https://www.khl.ru/game/1369/898157/resume/
Спартак,Барыс,5:3,https://www.khl.ru/game/1369/898150/resume/
СКА,Локомотив,2:5,https://www.khl.ru/game/1369/898151/resume/
ХК Сочи,Динамо Мн,2:3,https://www.khl.ru/game/1369/898145/resume/
Северсталь,Торпедо,1:2,https://www.khl.ru/game/1369/898146/resume/
Авангард,Металлург Мг,3:2 ОТ,https://www.khl.ru/game/1369/898147/resume/
ЦСКА,Драконы,6:5 ОТ,https://www.khl.ru/game/1369/898148/resume/
Автомобилист,Ак Барс,3:2 Б,https://www.khl.ru/game/1369/898149/resume/
Спартак,Адмирал,6:3,https://www.khl.ru/game/1369/898142/resume/
Салават Юлаев,Трактор,3:2 Б,https://www.khl.ru/game/1369/898143/resume/
СКА,Динамо М,1:4,https://www.khl.ru/game/1369/898144/resume/
ЦСКА,Нефтехимик,2:0,https://www.khl.ru/game/1369/898139/resume/
Ак Барс,Лада,4:5 Б,https://www.khl.ru/game/1369/898140/resume/
ХК Сочи,Динамо Мн,2:7,https://www.khl.ru/game/1369/898141/resume/
Локомотив,Динамо М,3:1,https://www.khl.ru/game/1369/898134/resume/
Металлург Мг,Северсталь,3:4 ОТ,https://www.khl.ru/game/1369/898135/resume/
СКА,Адмирал,4:2,https://www.khl.ru/game/1369/898136/resume/
Салават Юлаев,Сибирь,3:2 ОТ,https://www.khl.ru/game/1369/898137/resume/
Автомобилист,Авангард,5:1,https://www.khl.ru/game/1369/898138/resume/
Трактор,Лада,4:2,https://www.khl.ru/game/1369/898131/resume/
Торпедо,Динамо Мн,3:4,https://www.khl.ru/game/1369/898132/resume/
Салават Юлаев,Спартак,3:5,https://www.khl.ru/game/1369/898125/resume/
Нефтехимик,Сибирь,1:0,https://www.khl.ru/game/1369/898126/resume/
Металлург Мг,Адмирал,4:3 ОТ,https://www.khl.ru/game/1369/898127/resume/
Автомобилист,Драконы,4:1,https://www.khl.ru/game/1369/898128/resume/
Авангард,Амур,3:4,https://www.khl.ru/game/1369/898129/resume/
Барыс,Северсталь,2:3 ОТ,https://www.khl.ru/game/1369/898130/resume/
Локомотив,Динамо Мн,5:4 Б,https://www.khl.ru/game/1369/898122/resume/
Торпедо,Ак Барс,3:2 Б,https://www.khl.ru/game/1369/898123/resume/
СКА,ЦСКА,3:0,https://www.khl.ru/game/1369/898124/resume/
Барыс,Драконы,3:4 ОТ,https://www.khl.ru/game/1369/898116/resume/
Трактор,Северсталь,5:2,https://www.khl.ru/game/1369/898117/resume/
Нефтехимик,Спартак,2:0,https://www.khl.ru/game/1369/898118/resume/
Автомобилист,Адмирал,2:5,https://www.khl.ru/game/1369/898119/resume/
Металлург Мг,Амур,3:1,https://www.khl.ru/game/1369/898120/resume/
Авангард,Сибирь,2:1 Б,https://www.khl.ru/game/1369/898121/resume/
Динамо М,ХК Сочи,4:0,https://www.khl.ru/game/1369/898114/resume/
Лада,Ак Барс,2:4,https://www.khl.ru/game/1369/898115/resume/
Трактор,Салават Юлаев,0:6,https://www.khl.ru/game/1369/898109/resume/
Динамо Мн,Спартак,6:1,https://www.khl.ru/game/1369/898110/resume/
Сибирь,Амур,1:2 ОТ,https://www.khl.ru/game/1369/898111/resume/
Торпедо,Драконы,4:3 ОТ,https://www.khl.ru/game/1369/898112/resume/
СКА,Северсталь,2:3 Б,https://www.khl.ru/game/1369/898113/resume/
Локомотив,Нефтехимик,1:0,https://www.khl.ru/game/1369/898104/resume/
Авангард,Ак Барс,2:5,https://www.khl.ru/game/1369/898105/resume/
Барыс,Металлург Мг,2:3 ОТ,https://www.khl.ru/game/1369/898106/resume/
Лада,ЦСКА,2:1,https://www.khl.ru/game/1369/898107/resume/
Автомобилист,ХК Сочи,4:1,https://www.khl.ru/game/1369/898108/resume/
СКА,Салават Юлаев,4:0,https://www.khl.ru/game/1369/898102/resume/
Адмирал,Амур,0:3,https://www.khl.ru/game/1369/898103/resume/
Северсталь,Нефтехимик,3:1,https://www.khl.ru/game/1369/898096/resume/
Торпедо,Динамо М,2:4,https://www.khl.ru/game/1369/898097/resume/
Авангард,Трактор,6:2,https://www.khl.ru/game/1369/898098/resume/
Автомобилист,Металлург Мг,8:1,https://www.khl.ru/game/1369/898099/resume/
Спартак,Динамо Мн,4:3,https://www.khl.ru/game/1369/898100/resume/
Драконы,ЦСКА,1:2 ОТ,https://www.khl.ru/game/1369/898101/resume/
Барыс,Лада,5:3,https://www.khl.ru/game/1369/898094/resume/
ХК Сочи,Локомотив,1:2 ОТ,https://www.khl.ru/game/1369/898095/resume/
Салават Юлаев,Металлург Мг,4:3 Б,https://www.khl.ru/game/1369/898090/resume/
Адмирал,Трактор,2:3,https://www.khl.ru/game/1369/898091/resume/
Амур,Авангард,2:6,https://www.khl.ru/game/1369/898092/resume/
Автомобилист,Динамо М,1:2,https://www.khl.ru/game/1369/898093/resume/
Барыс,СКА,0:5,https://www.khl.ru/game/1369/898083/resume/
Нефтехимик,ХК Сочи,3:5,https://www.khl.ru/game/1369/898084/resume/
